,party,region,result,council
842, Партія регіонів , Кіровоградська область," 17,6 ",Компаніївська районна рада
843," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 14,7 ",Компаніївська районна рада
844, Комуністична партія України , Кіровоградська область," 8,8 ",Компаніївська районна рада
845, Народна Партія , Кіровоградська область," 15,9 ",Новоархангельська районна рада
846," Політична партія ""Фронт Змін""  ", Кіровоградська область," 11,4 ",Новоархангельська районна рада
847, Єдиний Центр , Кіровоградська область," 6,8 ",Новоархангельська районна рада
848," Партія ""Справедливість""  ", Кіровоградська область," 15,4 ",Знам'янська районна рада
849, Народна Партія , Кіровоградська область," 11,5 ",Знам'янська районна рада
850, Комуністична партія України , Кіровоградська область," 7,7 ",Знам'янська районна рада
851, Аграрна партія України , Кіровоградська область," 2,3 ",Новомиргородська районна рада
852, Республіканська партія України , Кіровоградська область," 2,3 ",Новомиргородська районна рада
853, Партія регіонів , Кіровоградська область," 33,3 ",Кіровоградська районна рада
854, Народна Партія , Кіровоградська область," 7,5 ",Маловисківська районна рада
855," Політична партія ""Сильна Україна"" ", Кіровоградська область," 7,5 ",Маловисківська районна рада
856," Політична партія ""Фронт Змін""  ", Кіровоградська область, 5 ,Маловисківська районна рада
857," Політична партія ""Фронт Змін""  ", Кіровоградська область," 8,8 ",Компаніївська районна рада
858, Соціалістична партія України , Кіровоградська область," 5,9 ",Компаніївська районна рада
859, Комуністична партія України , Кіровоградська область," 6,8 ",Новоархангельська районна рада
860," Політична партія ""Наша Україна"" ", Кіровоградська область," 6,8 ",Новоархангельська районна рада
861," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 7,7 ",Знам'янська районна рада
862," Партія ""ВІДРОДЖЕННЯ"" ", Кіровоградська область," 3,8 ",Знам'янська районна рада
863, Соціалістична партія України , Кіровоградська область," 3,8 ",Знам'янська районна рада
864," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 23,3 ",Кіровоградська районна рада
865," Політична партія ""Фронт Змін""  ", Кіровоградська область," 13,3 ",Кіровоградська районна рада
866, Єдиний Центр , Кіровоградська область," 11,7 ",Кіровоградська районна рада
867, Народна Партія , Кіровоградська область, 10 ,Кіровоградська районна рада
868," Громадянська партія ""ПОРА"" ", Кіровоградська область," 2,5 ",Маловисківська районна рада
869, Соціалістична партія України , Кіровоградська область," 4,5 ",Новоархангельська районна рада
870," Політична партія ""Сильна Україна"" ", Кіровоградська область," 2,3 ",Новоархангельська районна рада
871, Комуністична партія України , Кіровоградська область," 8,3 ",Кіровоградська районна рада
872, Партія регіонів , Миколаївська область," 77,3 ",Очаківська районна рада
873, Комуністична партія України , Миколаївська область," 9,1 ",Очаківська районна рада
874," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 9,1 ",Очаківська районна рада
875," Політична партія ""Сильна Україна"" ", Миколаївська область," 4,5 ",Очаківська районна рада
876, Партія регіонів , Миколаївська область," 40,9 ",Первомайська районна рада
877, Партія регіонів , Миколаївська область, 50 ,Новоодеська районна рада
878, Партія регіонів , Миколаївська область," 61,5 ",Новобузька районна рада
879, Партія регіонів , Луганська область," 85,7 ",Антрацитівська районна рада
881, Народна Партія , Миколаївська область, 25 ,Первомайська районна рада
882," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 11,4 ",Первомайська районна рада
883," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 16,7 ",Новоодеська районна рада
884, Єдиний Центр , Миколаївська область," 11,1 ",Новоодеська районна рада
885, Народна Партія , Миколаївська область," 11,5 ",Новобузька районна рада
886," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 11,5 ",Новобузька районна рада
887, Комуністична партія України , Луганська область," 14,3 ",Антрацитівська районна рада
891, Партія регіонів , Миколаївська область, 60 ,Снігурівська районна рада
892, Партія регіонів , Кіровоградська область, 50 ,Долинська районна рада
893, Комуністична партія України , Миколаївська область," 6,8 ",Первомайська районна рада
894," Політична партія ""Сильна Україна"" ", Миколаївська область," 6,8 ",Первомайська районна рада
895," Політична партія ""Наша Україна"" ", Миколаївська область," 4,5 ",Первомайська районна рада
896," Політична партія ""Фронт Змін""  ", Миколаївська область," 4,5 ",Первомайська районна рада
897, Комуністична партія України , Миколаївська область," 11,1 ",Новоодеська районна рада
898," Політична партія ""Фронт Змін""  ", Миколаївська область," 5,6 ",Новоодеська районна рада
899, Аграрна партія України , Миколаївська область," 2,8 ",Новоодеська районна рада
900, Комуністична партія України , Миколаївська область," 7,7 ",Новобузька районна рада
901, Єдиний Центр , Миколаївська область," 3,8 ",Новобузька районна рада
902," Політична партія ""Сильна Україна"" ", Миколаївська область," 3,8 ",Новобузька районна рада
906," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 12,5 ",Снігурівська районна рада
907," Політична партія ""Сильна Україна"" ", Миколаївська область," 7,5 ",Снігурівська районна рада
908," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 23,7 ",Долинська районна рада
909, Народна Партія , Кіровоградська область," 15,8 ",Долинська районна рада
910," Політична партія ""Фронт Змін""  ", Кіровоградська область," 5,3 ",Долинська районна рада
911, Народна Партія , Миколаївська область," 2,8 ",Новоодеська районна рада
915," Політична партія ""Фронт Змін""  ", Миколаївська область," 7,5 ",Снігурівська районна рада
916, Комуністична партія України , Миколаївська область, 5 ,Снігурівська районна рада
917, Народна Партія , Миколаївська область," 2,5 ",Снігурівська районна рада
918, Єдиний Центр , Кіровоградська область," 2,6 ",Долинська районна рада
919, Комуністична партія України , Кіровоградська область," 2,6 ",Долинська районна рада
921, Партія Зелених України , Миколаївська область," 2,5 ",Снігурівська районна рада
922, Політична партія Народний Рух України , Миколаївська область," 2,5 ",Снігурівська районна рада
923, Партія регіонів , Кіровоградська область," 33,3 ",Вільшанська районна рада
924, Партія регіонів , Миколаївська область," 62,5 ",Кривоозерська районна рада
925, Партія регіонів , Миколаївська область," 72,2 ",Казанківська районна рада
926, Партія регіонів , Кіровоградська область," 34,8 ",Добровеличківська районна рада
927, Народна Партія , Кіровоградська область, 30 ,Вільшанська районна рада
928," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 16,7 ",Вільшанська районна рада
929, Комуністична партія України , Кіровоградська область, 10 ,Вільшанська районна рада
930," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 12,5 ",Кривоозерська районна рада
931, Комуністична партія України , Миколаївська область," 9,4 ",Кривоозерська районна рада
932," Політична партія ""Фронт Змін""  ", Миколаївська область," 9,4 ",Кривоозерська районна рада
933, Комуністична партія України , Миколаївська область," 19,4 ",Казанківська районна рада
934," Політична партія ""Фронт Змін""  ", Миколаївська область," 5,6 ",Казанківська районна рада
935, Народна Партія , Миколаївська область," 2,8 ",Казанківська районна рада
936," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 28,3 ",Добровеличківська районна рада
937, Народна Партія , Кіровоградська область," 10,9 ",Добровеличківська районна рада
938," Політична партія ""Сильна Україна"" ", Кіровоградська область," 10,9 ",Добровеличківська районна рада
939, Партія регіонів , Миколаївська область, 69 ,Жовтнева районна рада
940, Партія регіонів , Кіровоградська область," 37,5 ",Голованівська районна рада
941, Партія регіонів , Миколаївська область," 66,7 ",Єланецька районна рада
942, Партія регіонів , Кіровоградська область," 73,7 ",Гайворонська районна рада
943, Єдиний Центр , Кіровоградська область," 6,7 ",Вільшанська районна рада
944, Українська морська партія , Кіровоградська область," 3,3 ",Вільшанська районна рада
945, Народна Партія , Миколаївська область," 6,3 ",Кривоозерська районна рада
946, Соціалістична партія України , Кіровоградська область," 6,5 ",Добровеличківська районна рада
947, Єдиний Центр , Кіровоградська область," 4,3 ",Добровеличківська районна рада
948, Комуністична партія України , Кіровоградська область," 2,2 ",Добровеличківська районна рада
949, Народна Партія , Миколаївська область," 9,5 ",Жовтнева районна рада
950," Політична партія ""Фронт Змін""  ", Миколаївська область," 7,1 ",Жовтнева районна рада
951," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область, 25 ,Голованівська районна рада
952, Народна Партія , Кіровоградська область," 20,8 ",Голованівська районна рада
953, Народно-демократична партія (НДП) , Кіровоградська область," 6,3 ",Голованівська районна рада
954," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 20,8 ",Єланецька районна рада
955, Комуністична партія України , Миколаївська область," 12,5 ",Єланецька районна рада
956," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 10,5 ",Гайворонська районна рада
957, Комуністична партія України , Кіровоградська область," 5,3 ",Гайворонська районна рада
958," Політична партія ""Сильна Україна"" ", Кіровоградська область," 5,3 ",Гайворонська районна рада
959, Партія відродження села , Кіровоградська область," 2,2 ",Добровеличківська районна рада
960, Комуністична партія України , Миколаївська область," 4,8 ",Жовтнева районна рада
961," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 4,8 ",Жовтнева районна рада
962," Політична партія ""Фронт Змін""  ", Кіровоградська область," 4,2 ",Голованівська районна рада
963, Єдиний Центр , Кіровоградська область," 2,1 ",Голованівська районна рада
964, Комуністична партія України , Кіровоградська область," 2,1 ",Голованівська районна рада
965," Політична партія ""Фронт Змін""  ", Кіровоградська область," 5,3 ",Гайворонська районна рада
966," Політична партія ""Сильна Україна"" ", Миколаївська область," 4,8 ",Жовтнева районна рада
967," Політична партія ""Сильна Україна"" ", Кіровоградська область," 2,1 ",Голованівська районна рада
968, Партія регіонів , Миколаївська область, 50 ,Братська районна рада
969, Партія регіонів , Миколаївська область," 53,6 ",Доманівська районна рада
970, Партія регіонів , Миколаївська область," 33,3 ",Врадіївська районна рада
971, Партія регіонів , Миколаївська область," 76,5 ",Вознесенська районна рада
972, Партія регіонів , Миколаївська область," 64,3 ",Веселинівська районна рада
973," Політична партія ""Фронт Змін""  ", Миколаївська область," 15,6 ",Братська районна рада
974, Народна Партія , Миколаївська область," 12,5 ",Братська районна рада
975, Народна Партія , Миколаївська область," 28,6 ",Доманівська районна рада
976," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 10,7 ",Доманівська районна рада
977, Комуністична партія України , Миколаївська область," 7,1 ",Доманівська районна рада
978," Політична партія ""Фронт Змін""  ", Миколаївська область, 25 ,Врадіївська районна рада
979," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 20,8 ",Врадіївська районна рада
980, Комуністична партія України , Миколаївська область," 8,3 ",Врадіївська районна рада
981, Комуністична партія України , Миколаївська область," 8,8 ",Вознесенська районна рада
982," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 5,9 ",Вознесенська районна рада
983, Народна Партія , Миколаївська область," 2,9 ",Вознесенська районна рада
984," Політична партія ""Фронт Змін""  ", Миколаївська область," 14,3 ",Веселинівська районна рада
985, Комуністична партія України , Миколаївська область," 7,1 ",Веселинівська районна рада
986," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 7,1 ",Веселинівська районна рада
987, Партія регіонів , Миколаївська область," 53,3 ",Березнегуватська районна рада
988, Партія регіонів , Миколаївська область," 55,9 ",Березанська районна рада
989, Партія регіонів , Миколаївська область," 52,5 ",Баштанська районна рада
990," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 9,4 ",Братська районна рада
991, Комуністична партія України , Миколаївська область," 6,3 ",Братська районна рада
992," Партія ""Народна влада"" ", Миколаївська область," 3,1 ",Братська районна рада
